ID,Name,Distance (metres),Grade (%),KOM (seconds),QOM (seconds),Athletes,Category,Bearing
3445397,Waggoners Gap Road Climb,898.2210083007810,5.5,,,10,NC,W
14689335,West of the Opossum,2087.300048828130,0.4,,,,NC,
5671908,Mount Zion Road Climb,484.6000061035160,8.5,,,20,NC,NE
6284450,the loop at dad's,2417.39990234375,0,,,4,NC,NW
2346342,Waggoners Gap Rd Climb,3646.6,7.8,,,,3,
5089629,Ritner Hwy Sprint,561.5999755859380,0.20000000298023200,,,79,NC,NE
19185305,This place looks like a scene from Breaking Bad,244.2,-1.3,36,52,846,NC,S
10877158,North Mid,1585.199951171880,-0.2,347,,17,NC,
5089543,Return up Waggoner's Gap Hill #1,652.5,3.8,125,,22,NC,
12024764,Dickinson Park Loop,1642.800048828130,0,316,,114,NC,
16696059,Dunbar Hill Climb,248.5,5.9,,,,NC,
14374978,Georgetown Circle,715.2000122070310,0.4,133,,129,NC,
10877142,Enola Rd,1621,-0.1,366,,13,NC,
5089484,Top of Waggoners Gap Hill #1,1288.699951171880,0.9,,,,NC,
5089647,Massey's Ice Cream to College,509.1000061035160,0,82,,175,NC,
15779831,Saint Patrick's Track,403.1,0,,,,NC,
10959603,CenturyLink Turkey Trot - 5K,4990.9,0,,,,NC,
16823452,Marsh Drive Cruising,1310,0.2,254,,26,NC,
2212168,letort trail,2523.800048828130,0.2,,,,NC,
18764882,"We got no food, we got no jobs, our pets heads are falling off!",971.3,-0.4,,,,NC,
2272310,Letort Rail Trail heading north,2492.699951171880,-0.2,487,,138,NC,
1931223,CBK Golf course perimeter trail,3168.5,0,611,,241,NC,E
14133977,KA Mile Clockwise,1567.2,0,,,,NC,
2383224,Wolf Bridge Road Climb from HWY 11,774.2999877929690,1.3,,,,NC,
2215695,Claremont Rd climb from Harmony Hill to Overpass,388.27099609375,2.299999952316280,,,35,NC,E
8788837,Beagle Club Road Climb,489.1000061035160,4,,,,NC,
21601164,S. Middleton Park CW,1570.699951171880,-0.1,,,,NC,
27428489,What The Duck,2308,0,,,,NC,
19699487,Lerew Top,1179.2,-0.5,,,,NC,
18764659,Soccer Mom's Get Out the Way!,1050.9000244140600,0.3,,,,NC,
26682823,West Middlesex Climb ,451.4,4.6,,,,NC,
16873801,Indian Hills Outer Loop,2133.39990234375,0.2,,,,NC,
